table,pdf_page,printed_page,num,footnotes,characteristic,condition,f16_67_min,f16_67_max,f20_min,f20_max,f25_min,f25_max,f33_33_min,f33_33_max,unit,note
read-write,282,10-8,13,,"AS, DS Negated to Address, FC, Size, RMC Invalid",,15,—,10,—,10,—,5,—,ns,
read-write,282,10-8,14,,AS (and DS Read) Width Asserted,,100,—,85,—,70,—,50,—,ns,
read-write,282,10-8,14A,,DS Width Asserted (Write),,40,—,38,—,30,—,25,—,ns,
read-write,282,10-8,15,,"AS, DS Width Negated",,40,—,38,—,30,—,23,—,ns,
read-write,282,10-8,15A,8,DS Negated to AS Asserted,,35,—,30,—,25,—,18,—,ns,
read-write,282,10-8,16,,"Clock High to AS, DS, R/W, DBEN High Impedance",,—,60,—,50,—,40,—,30,ns,
read-write,282,10-8,17,,"AS, DS Negated to R/W Invalid",,15,—,10,—,10,—,5,—,ns,
read-write,282,10-8,18,,Clock High to R/W High,,0,30,0,25,0,20,0,15,ns,
read-write,282,10-8,20,,Clock High to R/W Low,,0,30,0,25,0,20,0,15,ns,
read-write,282,10-8,21,,R/W High to AS Asserted (Read),,15,—,10,—,5,—,5,—,ns,
read-write,282,10-8,22,,R/W Low to DS Asserted (Write),,75,—,60,—,50,—,35,—,ns,
read-write,282,10-8,23,,Clock High to Data-Out Valid,,—,30,—,25,—,25,—,18,ns,
read-write,282,10-8,25,,"AS, DS Negated to Data-Out Invalid",,15,—,10,—,5,—,5,—,ns,
read-write,282,10-8,25A,"*,9",DS Negated to DBEN Negated (Write),,15,—,10,—,5,—,5,—,ns,
read-write,282,10-8,26,,Data-Out Valid to DS Asserted (Write),,15,—,10,—,5,—,5,—,ns,
read-write,282,10-8,27,,Data-In Valid to Clock Low (Setup) (Read),,5,—,5,—,5,—,5,—,ns,
read-write,282,10-8,27A,,Late BERR/HALT Asserted to Clock Low (Setup),,20,—,15,—,10,—,5,—,ns,
read-write,282,10-8,28,,"AS, DS Negated to DSACK≈, BERR, HALT, AVEC Negated",,0,80,0,65,0,50,0,40,ns,
read-write,283,10-9,29,,"AS, DS Negated to Data-In Invalid (Data-In Hold Time)",,0,—,0,—,0,—,0,—,ns,
read-write,283,10-9,29A,,"AS, DS Negated to Data-In (High Impedance)",,—,60,—,50,—,40,—,30,ns,
read-write,283,10-9,30,,Clock Low to Data-In Invalid (Data-In Hold Time),,15,—,15,—,10,—,10,—,ns,
read-write,283,10-9,31,2,DSACK≈ Asserted to Data-In Valid,,—,50,—,43,—,32,—,17,ns,
read-write,283,10-9,31A,3,DSACK≈ Asserted to DSACK≈ Valid (DSACK≈ Asserted Skew),,—,15,—,10,—,10,—,10,ns,
read-write,283,10-9,32,,RESET Input Transition Time,,—,1.5,—,1.5,—,1.5,—,1.5,Clks,
read-write,283,10-9,33,,Clock Low to BG Asserted,,0,30,0,25,0,20,0,20,ns,
read-write,283,10-9,34,,Clock Low to BG Negated,,0,30,0,25,0,20,0,20,ns,
read-write,283,10-9,35,,BR Asserted to BG Asserted (RMC Not Asserted),,1.5,3.5,1.5,3.5,1.5,3.5,1.5,3.5,Clks,
read-write,283,10-9,37,*,BGACK Asserted to BG Negated,,1.5,3.5,1.5,3.5,1.5,3.5,1.5,3.5,Clks,
read-write,283,10-9,37A,"*,6",BGACK Asserted to BR Negated,,0,1.5,0,1.5,0,1.5,0,1.5,Clks,
read-write,283,10-9,39,,BG Width Negated,,90,—,75,—,60,—,50,—,ns,
read-write,283,10-9,39A,,BG Width Asserted,,90,—,75,—,60,—,50,—,ns,
read-write,283,10-9,40,*,Clock High to DBEN Asserted (Read),,0,30,0,25,0,20,0,15,ns,
read-write,283,10-9,41,*,Clock Low to DBEN Negated (Read),,0,30,0,25,0,20,0,15,ns,
read-write,283,10-9,42,*,Clock Low to DBEN Asserted (Write),,0,30,0,25,0,20,0,15,ns,
read-write,283,10-9,43,*,Clock High to DBEN Negated (Write),,0,30,0,25,0,20,0,15,ns,
read-write,283,10-9,44,*,R/W Low to DBEN Asserted (Write),,15,—,10,—,10,—,5,—,ns,
read-write,283,10-9,45,"*,5",DBEN Width Asserted,Read,60,—,50,—,40,—,30,—,ns,
read-write,283,10-9,45,"*,5",DBEN Width Asserted,Write,120,—,100,—,80,—,60,—,ns,
read-write,283,10-9,46,,R/W Width Valid (Write or Read),,150,—,125,—,100,—,75,—,ns,
read-write,283,10-9,47A,,Asynchronous Input Setup Time,,5,—,5,—,5,—,5,—,ns,
read-write,283,10-9,47B,,Asynchronous Input Hold Time,,15,—,15,—,10,—,10,—,ns,
read-write,283,10-9,48,4,"DSACK≈ Asserted to BERR, HALT Asserted",,—,30,—,20,—,18,—,15,ns,
read-write,283,10-9,53,,Data-Out Hold from Clock High,,0,—,0,—,0,—,0,—,ns,
read-write,283,10-9,55,,R/W Valid to Data Bus Impedance Change,,30,—,25,—,20,—,20,—,ns,
read-write,283,10-9,56,,RESET Pulse Width (Reset Instruction),,512,—,512,—,512,—,512,—,Clks,
read-write,283,10-9,57,,BERR Negated to HALT Negated (Rerun),,0,—,0,—,0,—,0,—,ns,
read-write,283,10-9,58,"*,10",BGACK Negated to Bus Driven,,1,—,1,—,1,—,1,—,Clks,
read-write,283,10-9,59,10,BG Negated to Bus Driven,,1,—,1,—,1,—,1,—,Clks,
